2023-12-25 07:54:54.064 , 91282CJL6 ,  PV01: 0.018443 , Qty: 1000000
2023-12-25 07:54:54.107 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 5000000

2023-12-25 07:54:54.108 , 91282CJJ1 ,  PV01: 0.084100 , Qty: 0

2023-12-25 07:54:54.108 , 912810TW8 ,  PV01: 0.141055 , Qty: 1000000

2023-12-25 07:54:54.109 , 912810TW8 ,  PV01: 0.141055 , Qty: -1000000

2023-12-25 07:54:54.110 , 912810TW8 ,  PV01: 0.141055 , Qty: 2000000

2023-12-25 07:54:54.111 , 912810TW8 ,  PV01: 0.141055 , Qty: -2000000

2023-12-25 07:54:54.112 , 912810TW8 ,  PV01: 0.141055 , Qty: 3000000

2023-12-25 07:54:54.112 , 912810TW8 ,  PV01: 0.141055 , Qty: 2000000

2023-12-25 07:54:54.113 , 912810TW8 ,  PV01: 0.141055 , Qty: 4000000

2023-12-25 07:54:54.114 , 912810TW8 ,  PV01: 0.141055 , Qty: 1000000

2023-12-25 07:54:54.115 , 912810TW8 ,  PV01: 0.141055 , Qty: 5000000

2023-12-25 07:54:54.115 , 912810TW8 ,  PV01: 0.141055 , Qty: 0

2023-12-25 07:54:54.116 , 912810TV0 ,  PV01: 0.189036 , Qty: 1000000

2023-12-25 07:54:54.117 , 912810TV0 ,  PV01: 0.189036 , Qty: -1000000

2023-12-25 07:54:54.117 , 912810TV0 ,  PV01: 0.189036 , Qty: 2000000

2023-12-25 07:54:54.118 , 912810TV0 ,  PV01: 0.189036 , Qty: -2000000

2023-12-25 07:54:54.119 , 912810TV0 ,  PV01: 0.189036 , Qty: 3000000

2023-12-25 07:54:54.120 , 912810TV0 ,  PV01: 0.189036 , Qty: 2000000

2023-12-25 07:54:54.120 , 912810TV0 ,  PV01: 0.189036 , Qty: 4000000

2023-12-25 07:54:54.121 , 912810TV0 ,  PV01: 0.189036 , Qty: 1000000

2023-12-25 07:54:54.122 , 912810TV0 ,  PV01: 0.189036 , Qty: 5000000

2023-12-25 07:54:54.122 , 912810TV0 ,  PV01: 0.189036 , Qty: 0

