2023-12-25 07:54:54.065 , 91282CJL6 , TRSY1:0 , TRSY2:0 , TRSY3:1000000 , Aggregated: 1000000
2023-12-25 07:54:54.078 , 91282CJP7 , TRSY1:2000000 , TRSY2:0 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.079 , 91282CJP7 , TRSY1:0 , TRSY2:-3000000 , TRSY3:0 , Aggregated: -3000000

2023-12-25 07:54:54.079 , 91282CJP7 , TRSY1:0 , TRSY2:0 , TRSY3:4000000 , Aggregated: 4000000

2023-12-25 07:54:54.080 , 91282CJP7 , TRSY1:0 , TRSY2:-5000000 , TRSY3:0 , Aggregated: -5000000

2023-12-25 07:54:54.081 , 91282CJN2 , TRSY1:0 , TRSY2:1000000 , TRSY3:0 , Aggregated: 1000000

2023-12-25 07:54:54.082 , 91282CJN2 , TRSY1:-2000000 , TRSY2:0 , TRSY3:0 , Aggregated: -2000000

2023-12-25 07:54:54.083 , 91282CJN2 , TRSY1:3000000 , TRSY2:0 , TRSY3:0 , Aggregated: 3000000

2023-12-25 07:54:54.085 , 91282CJN2 , TRSY1:0 , TRSY2:-4000000 , TRSY3:0 , Aggregated: -4000000

2023-12-25 07:54:54.086 , 91282CJN2 , TRSY1:5000000 , TRSY2:0 , TRSY3:0 , Aggregated: 5000000

2023-12-25 07:54:54.087 , 91282CJN2 , TRSY1:0 , TRSY2:-1000000 , TRSY3:0 , Aggregated: -1000000

2023-12-25 07:54:54.088 , 91282CJN2 , TRSY1:0 , TRSY2:2000000 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.089 , 91282CJN2 , TRSY1:0 , TRSY2:0 , TRSY3:-3000000 , Aggregated: -3000000

2023-12-25 07:54:54.090 , 91282CJN2 , TRSY1:0 , TRSY2:4000000 , TRSY3:0 , Aggregated: 4000000

2023-12-25 07:54:54.091 , 91282CJN2 , TRSY1:0 , TRSY2:0 , TRSY3:-5000000 , Aggregated: -5000000

2023-12-25 07:54:54.092 , 91282CJM4 , TRSY1:0 , TRSY2:1000000 , TRSY3:0 , Aggregated: 1000000

2023-12-25 07:54:54.092 , 91282CJM4 , TRSY1:0 , TRSY2:-2000000 , TRSY3:0 , Aggregated: -2000000

2023-12-25 07:54:54.093 , 91282CJM4 , TRSY1:0 , TRSY2:0 , TRSY3:3000000 , Aggregated: 3000000

2023-12-25 07:54:54.094 , 91282CJM4 , TRSY1:0 , TRSY2:-4000000 , TRSY3:0 , Aggregated: -4000000

2023-12-25 07:54:54.095 , 91282CJM4 , TRSY1:5000000 , TRSY2:0 , TRSY3:0 , Aggregated: 5000000

2023-12-25 07:54:54.096 , 91282CJM4 , TRSY1:0 , TRSY2:0 , TRSY3:-1000000 , Aggregated: -1000000

2023-12-25 07:54:54.097 , 91282CJM4 , TRSY1:2000000 , TRSY2:0 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.098 , 91282CJM4 , TRSY1:0 , TRSY2:0 , TRSY3:-3000000 , Aggregated: -3000000

2023-12-25 07:54:54.099 , 91282CJM4 , TRSY1:0 , TRSY2:4000000 , TRSY3:0 , Aggregated: 4000000

2023-12-25 07:54:54.100 , 91282CJM4 , TRSY1:-5000000 , TRSY2:0 , TRSY3:0 , Aggregated: -5000000

2023-12-25 07:54:54.101 , 91282CJJ1 , TRSY1:0 , TRSY2:1000000 , TRSY3:0 , Aggregated: 1000000

2023-12-25 07:54:54.102 , 91282CJJ1 , TRSY1:0 , TRSY2:-2000000 , TRSY3:0 , Aggregated: -2000000

2023-12-25 07:54:54.103 , 91282CJJ1 , TRSY1:0 , TRSY2:0 , TRSY3:3000000 , Aggregated: 3000000

2023-12-25 07:54:54.104 , 91282CJJ1 , TRSY1:0 , TRSY2:-4000000 , TRSY3:0 , Aggregated: -4000000

2023-12-25 07:54:54.104 , 91282CJJ1 , TRSY1:0 , TRSY2:0 , TRSY3:5000000 , Aggregated: 5000000

2023-12-25 07:54:54.105 , 91282CJJ1 , TRSY1:0 , TRSY2:-1000000 , TRSY3:0 , Aggregated: -1000000

2023-12-25 07:54:54.106 , 91282CJJ1 , TRSY1:2000000 , TRSY2:0 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.106 , 91282CJJ1 , TRSY1:-3000000 , TRSY2:0 , TRSY3:0 , Aggregated: -3000000

2023-12-25 07:54:54.107 , 91282CJJ1 , TRSY1:0 , TRSY2:4000000 , TRSY3:0 , Aggregated: 4000000

2023-12-25 07:54:54.108 , 91282CJJ1 , TRSY1:0 , TRSY2:0 , TRSY3:-5000000 , Aggregated: -5000000

2023-12-25 07:54:54.109 , 912810TW8 , TRSY1:0 , TRSY2:0 , TRSY3:1000000 , Aggregated: 1000000

2023-12-25 07:54:54.110 , 912810TW8 , TRSY1:0 , TRSY2:0 , TRSY3:-2000000 , Aggregated: -2000000

2023-12-25 07:54:54.110 , 912810TW8 , TRSY1:0 , TRSY2:0 , TRSY3:3000000 , Aggregated: 3000000

2023-12-25 07:54:54.111 , 912810TW8 , TRSY1:0 , TRSY2:0 , TRSY3:-4000000 , Aggregated: -4000000

2023-12-25 07:54:54.112 , 912810TW8 , TRSY1:0 , TRSY2:0 , TRSY3:5000000 , Aggregated: 5000000

2023-12-25 07:54:54.113 , 912810TW8 , TRSY1:0 , TRSY2:0 , TRSY3:-1000000 , Aggregated: -1000000

2023-12-25 07:54:54.113 , 912810TW8 , TRSY1:2000000 , TRSY2:0 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.114 , 912810TW8 , TRSY1:-3000000 , TRSY2:0 , TRSY3:0 , Aggregated: -3000000

2023-12-25 07:54:54.115 , 912810TW8 , TRSY1:0 , TRSY2:4000000 , TRSY3:0 , Aggregated: 4000000

2023-12-25 07:54:54.116 , 912810TW8 , TRSY1:-5000000 , TRSY2:0 , TRSY3:0 , Aggregated: -5000000

2023-12-25 07:54:54.116 , 912810TV0 , TRSY1:0 , TRSY2:1000000 , TRSY3:0 , Aggregated: 1000000

2023-12-25 07:54:54.117 , 912810TV0 , TRSY1:0 , TRSY2:0 , TRSY3:-2000000 , Aggregated: -2000000

2023-12-25 07:54:54.118 , 912810TV0 , TRSY1:0 , TRSY2:3000000 , TRSY3:0 , Aggregated: 3000000

2023-12-25 07:54:54.118 , 912810TV0 , TRSY1:0 , TRSY2:-4000000 , TRSY3:0 , Aggregated: -4000000

2023-12-25 07:54:54.119 , 912810TV0 , TRSY1:0 , TRSY2:0 , TRSY3:5000000 , Aggregated: 5000000

2023-12-25 07:54:54.120 , 912810TV0 , TRSY1:0 , TRSY2:-1000000 , TRSY3:0 , Aggregated: -1000000

2023-12-25 07:54:54.121 , 912810TV0 , TRSY1:0 , TRSY2:2000000 , TRSY3:0 , Aggregated: 2000000

2023-12-25 07:54:54.121 , 912810TV0 , TRSY1:0 , TRSY2:0 , TRSY3:-3000000 , Aggregated: -3000000

2023-12-25 07:54:54.122 , 912810TV0 , TRSY1:0 , TRSY2:0 , TRSY3:4000000 , Aggregated: 4000000

2023-12-25 07:54:54.123 , 912810TV0 , TRSY1:0 , TRSY2:-5000000 , TRSY3:0 , Aggregated: -5000000

