2023-12-25 07:55:24.272 , MJFVHBOV , Side:BID , Price:98.996094 , Qty:10000000.000000
2023-12-25 07:55:24.292 , SHUPIWRY , Side:OFFER , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.292 , RWYLCMNQ , Side:BID , Price:99.011719 , Qty:10000000.000000

2023-12-25 07:55:24.293 , RHJJHHHQ , Side:OFFER , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.293 , CQZKXXCT , Side:BID , Price:99.011719 , Qty:10000000.000000

2023-12-25 07:55:24.294 , DMRADMIZ , Side:OFFER , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.295 , LMSUKEVS , Side:BID , Price:99.011719 , Qty:10000000.000000

2023-12-25 07:55:24.295 , GBJFTBZN , Side:OFFER , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.296 , PURYWGMI , Side:BID , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.296 , BJWYMGTZ , Side:OFFER , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.297 , AFUFOQOO , Side:BID , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.298 , XVHXQLNX , Side:OFFER , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.298 , AFGMRRDR , Side:BID , Price:99.015625 , Qty:10000000.000000

2023-12-25 07:55:24.299 , SCAFAOEA , Side:OFFER , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.300 , XTXAOZBO , Side:BID , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.300 , CFSCHKUL , Side:OFFER , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.301 , QFTWOTOC , Side:BID , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.301 , FRNUNEML , Side:OFFER , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.302 , GRBGAFZZ , Side:BID , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.303 , XWPQFGPT , Side:OFFER , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.303 , UDWSTQJV , Side:BID , Price:99.019531 , Qty:10000000.000000

2023-12-25 07:55:24.304 , RELJOZYH , Side:OFFER , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.305 , SBWTKJYV , Side:BID , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.306 , YEBCYIFY , Side:OFFER , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.307 , NKHCVBDQ , Side:BID , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.308 , ZPBAZTTF , Side:OFFER , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.309 , XFHQUARH , Side:BID , Price:99.023438 , Qty:10000000.000000

2023-12-25 07:55:24.309 , YKVJAKZJ , Side:OFFER , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.310 , IOGPORIQ , Side:BID , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.311 , FHXXAPWC , Side:OFFER , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.312 , JAINXCFJ , Side:BID , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.313 , UMBLDBSZ , Side:OFFER , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.313 , DPXKPOBE , Side:BID , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.314 , BDMNEFTL , Side:OFFER , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.315 , BCCYTEFX , Side:BID , Price:99.027344 , Qty:10000000.000000

2023-12-25 07:55:24.315 , RLFFULIE , Side:OFFER , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.316 , IHOSXLVH , Side:BID , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.316 , UIMXVOFR , Side:OFFER , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.317 , NGAWOQIH , Side:BID , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.317 , VCCTSJQK , Side:OFFER , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.318 , VKKZNEOS , Side:BID , Price:99.031250 , Qty:10000000.000000

2023-12-25 07:55:24.318 , JVTCILZE , Side:OFFER , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.319 , GZCOFYAZ , Side:BID , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.319 , QPEUXMIY , Side:OFFER , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.320 , JJLYBKNG , Side:BID , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.321 , PJLUYIXQ , Side:OFFER , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.322 , NLEOFIHL , Side:BID , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.322 , WNLBMQTV , Side:OFFER , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.323 , SFTZBPVD , Side:BID , Price:99.035156 , Qty:10000000.000000

2023-12-25 07:55:24.323 , AFTDAUVO , Side:OFFER , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.324 , AEQTZHXC , Side:BID , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.324 , CUEAXGZK , Side:OFFER , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.325 , GJAZNPNE , Side:BID , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.325 , YKUBAPTZ , Side:OFFER , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.326 , BCEGHIMF , Side:BID , Price:99.039062 , Qty:10000000.000000

2023-12-25 07:55:24.327 , LGIVVQID , Side:OFFER , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.327 , FWGKIBBH , Side:BID , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.328 , DKYZDTVR , Side:OFFER , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.328 , SODSVDVM , Side:BID , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.329 , YAKDRXBA , Side:OFFER , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.329 , GAWXPSAD , Side:BID , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.330 , ZCGDJLDE , Side:OFFER , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.331 , PDXUDJOE , Side:BID , Price:99.042969 , Qty:10000000.000000

2023-12-25 07:55:24.332 , VEQBYJPT , Side:OFFER , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.333 , EXNMDRBE , Side:BID , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.333 , AFTRHVJI , Side:OFFER , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.334 , VFOGEFGA , Side:BID , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.335 , PBEBPANX , Side:OFFER , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.336 , XNKIPOLM , Side:BID , Price:99.046875 , Qty:10000000.000000

2023-12-25 07:55:24.336 , HDGCMBVG , Side:OFFER , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.337 , TVOOVFSE , Side:BID , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.338 , LUUFBUUD , Side:OFFER , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.339 , MVMKZMAL , Side:BID , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.340 , QWVKJSSZ , Side:OFFER , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.341 , ZWFECJDX , Side:BID , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.341 , QTEFJUQW , Side:OFFER , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.342 , BISTUJKR , Side:BID , Price:99.050781 , Qty:10000000.000000

2023-12-25 07:55:24.343 , UWZXKHGK , Side:OFFER , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.343 , ZMAZKVBQ , Side:BID , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.344 , NYMKCFRY , Side:OFFER , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.344 , QWXIMUQJ , Side:BID , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.345 , VUHPNJHZ , Side:OFFER , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.345 , SLUAMOHB , Side:BID , Price:99.054688 , Qty:10000000.000000

2023-12-25 07:55:24.346 , SKPONMYQ , Side:OFFER , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.346 , WJCALHWQ , Side:BID , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.347 , UNPYKIDH , Side:OFFER , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.347 , HGNWEYOM , Side:BID , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.348 , BCCMMARV , Side:OFFER , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.348 , CSTWTIVI , Side:BID , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.349 , UJGTYDTI , Side:OFFER , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.350 , AUMZLGQG , Side:BID , Price:99.058594 , Qty:10000000.000000

2023-12-25 07:55:24.350 , NUVBFTBW , Side:OFFER , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.351 , KRIMZJGR , Side:BID , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.351 , NHHBAVPD , Side:OFFER , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.352 , WMQUHORF , Side:BID , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.352 , SOUJUMPK , Side:OFFER , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.353 , KDQBXDSU , Side:BID , Price:99.062500 , Qty:10000000.000000

2023-12-25 07:55:24.353 , PPYFVUKE , Side:OFFER , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.354 , WOCFSMTW , Side:BID , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.354 , QCSJBCOY , Side:OFFER , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.355 , DYNXAZNA , Side:BID , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.355 , JGTHRMKU , Side:OFFER , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.356 , VWLOMDFR , Side:BID , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.356 , XLHGPICX , Side:OFFER , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.357 , IFMQIRPA , Side:BID , Price:99.066406 , Qty:10000000.000000

2023-12-25 07:55:24.357 , RZUXQNMR , Side:OFFER , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.358 , WCHUBEFA , Side:BID , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.358 , RSSDRCJV , Side:OFFER , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.359 , CVKJCXYR , Side:BID , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.359 , RWXJVTKD , Side:OFFER , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.360 , FADECDSM , Side:BID , Price:99.070312 , Qty:10000000.000000

2023-12-25 07:55:24.360 , CKJOGDFH , Side:OFFER , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.361 , ZKIODARX , Side:BID , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.362 , TGWUFVZS , Side:OFFER , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.362 , QBKZMLXL , Side:BID , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.363 , OKXLNDNA , Side:OFFER , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.363 , AOYLZIRE , Side:BID , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.364 , QBOCZVBF , Side:OFFER , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.364 , EUKBIWXO , Side:BID , Price:99.074219 , Qty:10000000.000000

2023-12-25 07:55:24.364 , GXCREZYR , Side:OFFER , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.365 , KKNFSEBR , Side:BID , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.365 , INIZWVYY , Side:OFFER , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.366 , VLQUNAQE , Side:BID , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.367 , UZUJWKOY , Side:OFFER , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.367 , PKBVFLIH , Side:BID , Price:99.078125 , Qty:10000000.000000

2023-12-25 07:55:24.368 , IMZKEJBQ , Side:OFFER , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.368 , DXIUALYP , Side:BID , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.369 , RVICLNBS , Side:OFFER , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.369 , ADPXVERU , Side:BID , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.370 , GTRUFAHY , Side:OFFER , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.371 , GMOSRWLG , Side:BID , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.371 , GHKFPMGU , Side:OFFER , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.372 , LOQVHTSU , Side:BID , Price:99.082031 , Qty:10000000.000000

2023-12-25 07:55:24.372 , BFVTGIWI , Side:OFFER , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.373 , BWZYLJTN , Side:BID , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.374 , LYLQWPPK , Side:OFFER , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.374 , TUQLINBY , Side:BID , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.375 , HFMFYOSA , Side:OFFER , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.376 , GQWKTFWW , Side:BID , Price:99.085938 , Qty:10000000.000000

2023-12-25 07:55:24.376 , OWIBFBMJ , Side:OFFER , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.377 , ASUCCAZC , Side:BID , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.377 , FKTIFHEG , Side:OFFER , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.378 , CRSIXERT , Side:BID , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.378 , JNRIKNHS , Side:OFFER , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.379 , KXQEVVVE , Side:BID , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.379 , JTVTXCXT , Side:OFFER , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.380 , NGGNRRUV , Side:BID , Price:99.089844 , Qty:10000000.000000

2023-12-25 07:55:24.380 , QJFCIVES , Side:OFFER , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.381 , KWDZVJMV , Side:BID , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.382 , STOLZSSR , Side:OFFER , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.382 , EUXGGZPU , Side:BID , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.383 , GPRKMIJM , Side:OFFER , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.383 , AKWFNWOX , Side:BID , Price:99.093750 , Qty:10000000.000000

2023-12-25 07:55:24.384 , SOIFZAOH , Side:OFFER , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.384 , GBIYONGH , Side:BID , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.385 , DRNGKMXM , Side:OFFER , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.386 , TFKLKHNO , Side:BID , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.386 , LLPFCSOK , Side:OFFER , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.387 , NQAIXDNQ , Side:BID , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.387 , AUZJTJQQ , Side:OFFER , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.388 , YLXHGVQH , Side:BID , Price:99.097656 , Qty:10000000.000000

2023-12-25 07:55:24.388 , YGKNDBNJ , Side:OFFER , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.389 , DUEULQLV , Side:BID , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.390 , MNQPSXPP , Side:OFFER , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.390 , KBAZADKY , Side:BID , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.391 , XYXETVQC , Side:OFFER , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.391 , VIBJZFUG , Side:BID , Price:99.101562 , Qty:10000000.000000

2023-12-25 07:55:24.392 , DOUEXMDO , Side:OFFER , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.392 , XZBBCGSZ , Side:BID , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.393 , HQZCGHVN , Side:OFFER , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.393 , MVPDTGYA , Side:BID , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.394 , TZVBGBSK , Side:OFFER , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.394 , YIHBGODD , Side:BID , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.395 , YZWKZPYJ , Side:OFFER , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.395 , HZUVEEOX , Side:BID , Price:99.105469 , Qty:10000000.000000

2023-12-25 07:55:24.396 , GJYOKVAF , Side:OFFER , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.397 , VSXRGWZB , Side:BID , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.397 , WSTCHVQX , Side:OFFER , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.398 , FUCLCFMC , Side:BID , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.398 , NDMLEPSE , Side:OFFER , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.399 , UORGOXSH , Side:BID , Price:99.109375 , Qty:10000000.000000

2023-12-25 07:55:24.400 , PTLYSEQX , Side:OFFER , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.400 , MFMGALJP , Side:BID , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.401 , ECHAFKHQ , Side:OFFER , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.401 , SQEITFLO , Side:BID , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.402 , EIQUWWSE , Side:OFFER , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.402 , QIZIXDHH , Side:BID , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.403 , OKKVKRBH , Side:OFFER , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.403 , EVAJPUMG , Side:BID , Price:99.113281 , Qty:10000000.000000

2023-12-25 07:55:24.404 , BMCDRRSH , Side:OFFER , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.404 , BQEDWSIW , Side:BID , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.405 , OYNIVJOV , Side:OFFER , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.406 , IGCFFOHY , Side:BID , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.406 , OPYPBBPD , Side:OFFER , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.407 , XEWTKTCM , Side:BID , Price:99.117188 , Qty:10000000.000000

2023-12-25 07:55:24.407 , RBYFWVVI , Side:OFFER , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.408 , HNWBJYKL , Side:BID , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.408 , PAEDMQQI , Side:OFFER , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.409 , WAQJIWNF , Side:BID , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.409 , LSDDRPNH , Side:OFFER , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.410 , QWBQKGUU , Side:BID , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.410 , TLRHFJIH , Side:OFFER , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.411 , WYRCXCFY , Side:BID , Price:99.121094 , Qty:10000000.000000

2023-12-25 07:55:24.411 , WKIGESQF , Side:OFFER , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.412 , GTAVPWCV , Side:BID , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.413 , JGEAFSDK , Side:OFFER , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.413 , YURQEPJL , Side:BID , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.414 , AZWQJTWP , Side:OFFER , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.414 , VTSJUVDF , Side:BID , Price:99.125000 , Qty:10000000.000000

2023-12-25 07:55:24.415 , SZQGPJBG , Side:OFFER , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.416 , NIBVJXND , Side:BID , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.416 , RSZTPWVA , Side:OFFER , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.417 , VKVCRAYC , Side:BID , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.417 , UZSAJWKV , Side:OFFER , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.418 , KCEHCGPG , Side:BID , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.418 , UILJBRPA , Side:OFFER , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.419 , QXKJOGQL , Side:BID , Price:99.128906 , Qty:10000000.000000

2023-12-25 07:55:24.419 , JMPAXJXE , Side:OFFER , Price:99.140625 , Qty:10000000.000000

2023-12-25 07:55:24.420 , BFJQLDDI , Side:BID , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.420 , FLAHYSWD , Side:OFFER , Price:99.140625 , Qty:10000000.000000

2023-12-25 07:55:24.421 , QZFWLRYA , Side:BID , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.421 , SAKWNRPH , Side:OFFER , Price:99.140625 , Qty:10000000.000000

2023-12-25 07:55:24.422 , LFQEUIGG , Side:BID , Price:99.132812 , Qty:10000000.000000

2023-12-25 07:55:24.422 , AQUXKBHI , Side:OFFER , Price:99.140625 , Qty:10000000.000000

2023-12-25 07:55:24.423 , QLULJEKM , Side:BID , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.423 , FNAXTDYG , Side:OFFER , Price:99.144531 , Qty:10000000.000000

2023-12-25 07:55:24.424 , FOZHGZMN , Side:BID , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.425 , VTJHFQEY , Side:OFFER , Price:99.144531 , Qty:10000000.000000

2023-12-25 07:55:24.425 , BGWIBBZK , Side:BID , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.426 , LZGUTYOO , Side:OFFER , Price:99.144531 , Qty:10000000.000000

2023-12-25 07:55:24.426 , HAYUPPUF , Side:BID , Price:99.136719 , Qty:10000000.000000

2023-12-25 07:55:24.427 , PXTSKYUI , Side:OFFER , Price:99.148438 , Qty:10000000.000000

2023-12-25 07:55:24.427 , KHTROLRB , Side:BID , Price:99.140625 , Qty:10000000.000000

2023-12-25 07:55:24.428 , IVYJPPVT , Side:OFFER , Price:99.148438 , Qty:10000000.000000

2023-12-25 07:55:24.428 , FZKYWUCB , Side:BID , Price:99.140625 , Qty:10000000.000000

